recipe_id,recipe_type,cuisine_id,difficulty,recipe_name,description,tip_1,tip_2 ,tip_3,cooking_time_mins,preparation_time_mins,portions_made,basic_ingr_id,fat_g,protein_g,carbs_g,calories,picture_id,steps
01038,Cooking,08009,2,Okonomiyaki,Japanese savory pancake with various toppings,Keep gyoza covered while cooking to ensure the filling is steamed properly,,,40,10,5,4035,10,15,20,,20001,"Prepare filling by combining pork, cabbage, garlic, ginger, soy sauce, sesame oil, onions, salt, and pepper, spoon filling onto gyoza wrappers and seal edges, fry gyoza in oil, add water to the pan and steam gyoza until cooked through, remove lid to crisp bottoms before serving"
01039,Cooking,08009,4,Salmon Sushi,"Vinegared rice topped with various ingredients such as fish, seafood, or vegetables",Use warm water and active dry yeast for fluffy buns,,,90,10,4,4001,5,8,30,,20001,"Dissolve yeast and sugar in warm water, let it sit for 5 minutes until foamy, combine flour, baking powder, and salt in a mixing bowl, add yeast mixture and oil, knead until smooth, then let rise until doubled in size, divide and shape dough into balls, then flatten into ovals, let rise again, then steam for 10-12 minutes until cooked through, serve warm."
01040,Cooking,08009,1,Yakitori,Grilled skewered chicken or other meats,Cook until golden brown and crispy on the outside.,,,50,10,6,4068,15,12,25,,20001,"Chop the cooked ham, melt butter in a saucepan, add flour, and cook, gradually add milk, stirring continuously, until a thick sauce forms, add ham and salt to the sauce, cook for 5 minutes, spread mixture onto a plate to cool, then shape into croquettes, dip croquettes in beaten egg, coat with breadcrumbs, fry"
01041,Cooking,08009,3,Gyoza,Pan-fried dumplings filled with pork and vegetables,Be careful when caramelizing sugar as it can become very hot.,,,150,10,7,4019,10,5,30,,20001,"Preheat oven, caramelize sugar in a saucepan, pour caramelized sugar into a baking dish, beat eggs in a mixing bowl, add condensed milk, evaporated milk, and vanilla extract to eggs, mix well, pour mixture over caramelized sugar, place baking dish in a larger pan with hot water, bake until set, let it cool, then refrigerate before serving."
01042,Cooking,08009,5,Bao Buns,Soft and fluffy steamed buns with various fillings,,,,60,20,3,4025,25,35,40,,20001,"Dice the vegetables, preheat the pan, add the vegetables, stir the rice, pour the broth, cook until brownes in another pan the chicken, the chorizo, add the chicken, the chorizo, the shrimps and the mussels on top of the rice and let it cook. then let it rest "
01043,Cooking,08010,5,Croquetas de Jamón,Ham croquettes fried to golden perfection,Don't overmix ,let the Köfte rest,,30,10,3,4012,15,20,10,,20001,"Combine all the ingredients together in a big bowl and mix them well with your hands, shape small patties and fry them in preheated vegetable oil for 4 min per side until browned"
01044,Baking,08010,2,Flan,Creamy caramel custard dessert,Is best served from the oven,it can be stored in the fridge for 2 days,,60,30,5,4001,15,10,25,,20001,"dough: in a bowl combine the solid ingredients and then add the warm water and the olive oil and mix well, let it rest for 1 hour / toppings: in a pan cook the beef until browned and then add the rest of the ingridients and cook for 5 min, preheat the oven to 220°C, shape the dough by dividing it in equal portions anf giving it a boat shape, add the topping and bake for 15 min"
01045,Cooking,08010,3,Paella,Traditional Spanish rice dish with seafood or meat,For a true Portuguese experience enjoy it with a cold beer,,,20,5,6,4015,45,40,50,,20001,"in a pan heat a little oil and the onion and the garlic and cook for 5 min, addd the rest of the ingridients for the sauce and stir well and then let it shimmer for 15 min, assemble the sandwitches and bake them for 5 min, serve the sandwitch by pouring the sauce on top of them"
01046,Baking,08011,1,Baklava,Sweet pastry made of layers of filo filled with chopped nuts and sweetened with syrup or honey,Better visit IKEA to eat the original ones,,,30,10,3,4012,25,25,20,,20001,"form the meatballs, fry in a pan, make the sauce"
01047,Cooking,08010,2,Ensaladilla Rusa,Classic potato salad with vegetables and mayo,chill the pastry before adding the custard ,strain the custard for a smoother filling,if storing leftovers reheat them briefly to restore their crispness,45,20,4,4001,15,5,30,,20001,"preheat the oven to 200°C, grease a muffin tin, roll out the puff pastry and cut it in pieces larger than the muffin cups and press them in the cups, in a pan heat the milk until boiling, in a bowl mix together the rest of the ingridients and sloowly pour in the warm milk whisking constantly, return the mixture to the pan and cook for another 5 min, fill the cups and bake for 20 minutes. "
01048,Cooking,08010,2,Salmorejo,"Thick, cold tomato soup served with garnishes",it pairs well with a crisp white wine,,,120,10,4,4083,20,30,25,,20001,"boil the octopus for 45 minutes, preheat the oven to 200°C, while the octopusis cooking prepare the potatoes, placethe potatoeson a baking sheet and drizzle them with olive oil, salt, pepper and roast them for 40min, roast the octopus for 30 min and serve"
01049,Cooking,08012,3,Tacos al Pastor,Marinated pork cooked on a vertical spit,use a sharp knife to cut the pieces,baklava and syrup at similar temperature,,60,10,2,4070,15,5,35,,20001,"Thaw the phyllo if necessary, smash the walnuts in a blender, preheat the oven to around 180C, brush the bottom of the baking dish with melted butter and put layers of the phyllo and in between brush again with butter and add the filling, top with more layers of phyllo and butter, bake for about 30-40 minutes, pour with the syrup and then let it cool"
01050,Cooking,08010,4,Pisto Manchego,Ratatouille-like stew of vegetables in tomato sauce,adjust the spice levels according to your taste preference,,,30,50,4,4029,35,25,40,,20001,"in a bowl combine the chicken pieces with all the ingridients for the marinade and refrigerate for 1 hour, in a pan heat butter and add the onion for 5 min, add the seasonigs and the tomato puree, blendthe cashew nuts and add them to the pan , add the chicken and cook for 10 min, stir the heavy cream ans shimmer for 3 min, serve with rice"
01051,Cooking,08012,2,Camarones a la Diabla,Spicy shrimp cooked in a fiery sauce,chill the salad 2h before serving,,,20,5,3,4009,10,5,20,,20001,"boil the vegetable, in a large bowl add all the ingredients and mix everything very well, let it cool"
01052,Cooking,08011,2,Köfte,Grilled or fried meatballs seasoned with herbs and spices.,,,,90,20,4,4012,30,20,40,,20001,"prepare the filling, prepare the mashed potatoes, assemble and bake"
01053,Baking,08011,3,Lahmacun,"Boat-shaped flatbread topped with meat, cheese, and vegetables.",Place the wok over fire for better results,,,15,0,8,4053,25,30,50,,20001,"Stir fry the vegetables and the shrimps, Add the boiled noodles, Add the sauce and mix"
01054,Cooking,08013,2,Francesinha,"Sandwich filled with cured meats, covered in melted cheese, and served with a spicy tomato sauce.",use ripe tomatoes,remove the crust form the bread,,20,0,2,4014,5,3,15,,20001,"Soak the bread, blend the ingredients, adjust the consistency with water, chill the soup"
01055,Baking,08013,1,Pastéis de Nata,"Flaky pastry filled with creamy custard, sprinkled with cinnamon.",use the right cut of meat,marinate overnight,"use pineapple juice,",30,0,2,4035,15,20,25,,20001,"prepare the marinade by blending everything together, marinate the pork, cook the pork on preheated pan for 5 min, assemble the tacos"
01056,Cooking,08013,2,Polvo à Lagareiro,Grilled octopus drizzled with olive oil and served with roasted potatoes.,evenly sized vegetables,cook vegetables until just tender,season well,30,0,3,4083,10,5,20,,20001,"In preheatd pan add the onion, the garlic and saute for 5 min. Add the tomatoesand then the rest of the vegetables and cook for 15 min. Add the seasoning and serve"
01057,Cooking,08014,1,Butter Chicken,"Chicken cooked in a rich, creamy tomato sauce with butter and spices.",Grate bottarga just before serving to preserve its flavor and texture,,,25,4,6,4029,25,30,50,,20001,"Cook pasta until al dente, sauté minced garlic in olive oil, toss cooked pasta with garlic-infused oil, grate bottarga over pasta, add parsley, lemon zest, and red pepper flakes, combine, season, serve"
01058,Baking,08002,4,Galaktoboureko,dessert consisting of layers of crispy phyllo pastry filled with a creamy custard and soaked in a sweet syrup,Stir frequently while adding broth gradually to achieve creamy consistency,,,40,0,16,4070,20,10,35,,20001,"Sauté onion and garlic in olive oil, toast rice, add white wine, cook until absorbed, gradually add broth while stirring, stir in asparagus for the last 5 minutes of cooking, remove from heat, stir in Parmesan cheese and butter, season, serve."
01059,Cooking,08015,3,Jamaican Jerk Chicken,Pulled Chicken,Baste the chicken with the yakitori sauce while grilling for extra flavor,,,40,10,4,4029,5,20,10,,20001,"Thread chicken onto skewers, mix soy sauce, mirin, sake, and sugar to make yakitori sauce, preheat grill, grill chicken skewers, basting with sauce, garnish with onions before serving"
01060,Cooking,08016,2,Swedish Meatballs,Beef meatballs like the IKEA ones!,Allow the Galaktoboureko to cool completely before slicing to allow the custard to set and the flavors to develop.,,,90,15,4,4012,15,5,35,,20001,"preheat the oven to 175°C, make the custard filling by heating the milk and in a bowl whisk together the flour, sugar, eggs, vanilla extract, lemon zest andgradually add the warm milk, cook the mixture for 15 minutes, lay half of the phyllo, pour the filling, add the rest of the phyllo,bake for 50 min, prepare the syrup, pour the syrup over the hot Galaktoboureko, allow it to cool down and serve"
01061,Cooking,08017,5,Shepherd's Pie,Traditional pie from Scotland,don't overcook the shrimps and serve immediately,,,30,0,6,4035,20,30,25,,20001,"heat the vegetable oi and add the chipotle peppers, the garlic and the onion until softened, add the tomatoe puree and the broth, add the seasonigs and then the shrimps after peeling them, cook for another  5 min "
01062,Cooking,08018,2,Pad Thai,"Rice noodles with sauce, vegetables and shrimps",,,,60,15,2,4029,25,25,20,,20001,"combine ingredients in a bowl, Marinate the chicken, put in the oven"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
